Analysis:

"Image Name","Number of Lanes","Background Color","Background Correction","Disk Radius","Lanes Constant","Lane Sum","Lanes Straight",
"GNcapstoneA1-A9.JPG","10","Black","No background correction","1","False","False","True",



Lanes :

"Lane ID","Name","Start","End","Width","Mass","I-Max","I-Vol","C-Max","C-Vol","LanesBands",
"A","N/A","60","1139","20","100","215","790325","-","-","10",
"B","N/A","60","1139","20","100","238","877321","-","-","7",
"C","N/A","60","1139","20","100","228","891186","-","-","6",
"D","N/A","60","1139","20","100","221","898132","-","-","6",
"E","N/A","60","1139","20","100","226","909275","-","-","6",
"F","N/A","60","1139","20","100","184","873656","-","-","6",
"G","N/A","60","1139","20","100","212","874922","-","-","6",
"H","N/A","60","1139","20","100","227","871561","-","-","6",
"I","N/A","60","1139","20","100","168","788552","-","-","6",
"J","N/A","60","1139","20","100","233","780053","-","-","10",



Bands:

"Lane ID","Band ID","Name","MW","Rf","Top","Peak","Bottom","Left","Right","I-Max","I-Vol","I-%","I-Mass","C-Max","C-Vol","C-%","C-Mass","Background Correction",
"A","A1","N/A","-","0.38","470","472","474","583","602","140","11042","1.4","1.4","-","-","-","-","0",
"A","A2","N/A","-","0.39","479","480","483","583","602","146","10822","1.37","1.37","-","-","-","-","0",
"A","A3","N/A","-","0.4","488","489","492","583","602","143","10845","1.37","1.37","-","-","-","-","0",
"A","A4","N/A","-","0.41","497","499","501","583","602","148","11460","1.45","1.45","-","-","-","-","0",
"A","A5","N/A","-","0.42","507","509","511","583","602","149","11584","1.47","1.47","-","-","-","-","0",
"A","A6","N/A","-","0.43","521","523","525","583","602","215","16156","2.04","2.04","-","-","-","-","0",
"A","A7","N/A","-","0.44","536","537","540","583","602","128","10703","1.35","1.35","-","-","-","-","0",
"A","A8","N/A","-","0.46","553","555","557","583","602","121","10383","1.31","1.31","-","-","-","-","0",
"A","A9","N/A","-","0.48","576","578","580","583","602","103","8974","1.14","1.14","-","-","-","-","0",
"A","A10","N/A","-","0.5","602","604","606","583","602","94","8450","1.07","1.07","-","-","-","-","0",
"B","B1","N/A","-","0.41","463","500","508","625","644","134","78582","8.96","8.96","-","-","-","-","0",
"B","B2","N/A","-","0.44","532","536","541","625","644","119","20617","2.35","2.35","-","-","-","-","0",
"B","B3","N/A","-","0.46","544","555","586","625","644","231","104783","11.94","11.94","-","-","-","-","0",
"B","B4","N/A","-","0.53","616","633","730","625","644","135","159951","18.23","18.23","-","-","-","-","0",
"B","B5","N/A","-","0.67","778","779","781","625","644","71","5270","0.6","0.6","-","-","-","-","0",
"B","B6","N/A","-","0.69","799","800","808","625","644","62","7628","0.87","0.87","-","-","-","-","0",
"B","B7","N/A","-","0.94","1072","1076","1084","625","644","238","6493","0.74","0.74","-","-","-","-","0",
"C","C1","N/A","-","0.41","454","498","508","657","676","207","100979","11.33","11.33","-","-","-","-","0",
"C","C2","N/A","-","0.44","529","535","541","657","676","149","29311","3.29","3.29","-","-","-","-","0",
"C","C3","N/A","-","0.46","544","552","568","657","676","228","66256","7.43","7.43","-","-","-","-","0",
"C","C4","N/A","-","0.53","616","632","667","657","676","122","87957","9.87","9.87","-","-","-","-","0",
"C","C5","N/A","-","0.67","778","779","796","657","676","72","23612","2.65","2.65","-","-","-","-","0",
"C","C6","N/A","-","0.69","799","800","808","657","676","64","7521","0.84","0.84","-","-","-","-","0",
"D","D1","N/A","-","0.41","457","497","505","703","722","164","86138","9.59","9.59","-","-","-","-","0",
"D","D2","N/A","-","0.44","529","533","541","703","722","136","28259","3.15","3.15","-","-","-","-","0",
"D","D3","N/A","-","0.45","544","550","565","703","722","221","55989","6.23","6.23","-","-","-","-","0",
"D","D4","N/A","-","0.53","616","631","772","703","722","144","211796","23.58","23.58","-","-","-","-","0",
"D","D5","N/A","-","0.67","775","778","781","703","722","72","8579","0.96","0.96","-","-","-","-","0",
"D","D6","N/A","-","0.68","793","797","808","703","722","64","15012","1.67","1.67","-","-","-","-","0",
"E","E1","N/A","-","0.41","457","498","505","745","764","217","90987","10.01","10.01","-","-","-","-","0",
"E","E2","N/A","-","0.44","526","533","541","745","764","171","36438","4.01","4.01","-","-","-","-","0",
"E","E3","N/A","-","0.46","544","551","565","745","764","226","57335","6.31","6.31","-","-","-","-","0",
"E","E4","N/A","-","0.53","613","629","772","745","764","145","217642","23.94","23.94","-","-","-","-","0",
"E","E5","N/A","-","0.67","775","778","781","745","764","72","8614","0.95","0.95","-","-","-","-","0",
"E","E6","N/A","-","0.69","799","800","808","745","764","67","7379","0.81","0.81","-","-","-","-","0",
"F","F1","N/A","-","0.4","457","495","502","784","803","131","76103","8.71","8.71","-","-","-","-","0",
"F","F2","N/A","-","0.44","526","532","538","784","803","132","26760","3.06","3.06","-","-","-","-","0",
"F","F3","N/A","-","0.45","544","549","559","784","803","184","37302","4.27","4.27","-","-","-","-","0",
"F","F4","N/A","-","0.53","613","628","685","784","803","134","121501","13.91","13.91","-","-","-","-","0",
"F","F5","N/A","-","0.67","775","778","781","784","803","71","8695","1","1","-","-","-","-","0",
"F","F6","N/A","-","0.69","799","800","808","784","803","67","7309","0.84","0.84","-","-","-","-","0",
"G","G1","N/A","-","0.4","451","496","502","824","843","188","87550","10.01","10.01","-","-","-","-","0",
"G","G2","N/A","-","0.44","523","532","538","824","843","177","35802","4.09","4.09","-","-","-","-","0",
"G","G3","N/A","-","0.45","544","549","556","824","843","212","33982","3.88","3.88","-","-","-","-","0",
"G","G4","N/A","-","0.53","613","628","709","824","843","137","147160","16.82","16.82","-","-","-","-","0",
"G","G5","N/A","-","0.67","775","778","781","824","843","72","8716","1","1","-","-","-","-","0",
"G","G6","N/A","-","0.69","799","800","805","824","843","66","6283","0.72","0.72","-","-","-","-","0",
"H","H1","N/A","-","0.4","451","496","508","864","883","216","102218","11.73","11.73","-","-","-","-","0",
"H","H2","N/A","-","0.44","523","533","538","864","883","166","35018","4.02","4.02","-","-","-","-","0",
"H","H3","N/A","-","0.45","544","549","592","864","883","227","101722","11.67","11.67","-","-","-","-","0",
"H","H4","N/A","-","0.53","610","630","685","864","883","146","128692","14.77","14.77","-","-","-","-","0",
"H","H5","N/A","-","0.66","775","777","781","864","883","73","8484","0.97","0.97","-","-","-","-","0",
"H","H6","N/A","-","0.69","799","800","808","864","883","63","6413","0.74","0.74","-","-","-","-","0",
"I","I1","N/A","-","0.4","451","496","502","906","925","111","73809","9.36","9.36","-","-","-","-","0",
"I","I2","N/A","-","0.44","523","532","538","906","925","123","29410","3.73","3.73","-","-","-","-","0",
"I","I3","N/A","-","0.45","544","549","559","906","925","168","34206","4.34","4.34","-","-","-","-","0",
"I","I4","N/A","-","0.53","613","629","769","906","925","122","190116","24.11","24.11","-","-","-","-","0",
"I","I5","N/A","-","0.66","775","777","781","906","925","70","8336","1.06","1.06","-","-","-","-","0",
"I","I6","N/A","-","0.68","787","791","805","906","925","64","19446","2.47","2.47","-","-","-","-","0",
"J","J1","N/A","-","0.41","457","497","502","945","964","110","62725","8.04","8.04","-","-","-","-","0",
"J","J2","N/A","-","0.44","526","533","541","945","964","133","29571","3.79","3.79","-","-","-","-","0",
"J","J3","N/A","-","0.45","544","549","559","945","964","153","31634","4.06","4.06","-","-","-","-","0",
"J","J4","N/A","-","0.53","613","629","640","945","964","127","55119","7.07","7.07","-","-","-","-","0",
"J","J5","N/A","-","0.54","643","645","691","945","964","233","65146","8.35","8.35","-","-","-","-","0",
"J","J6","N/A","-","0.6","703","707","709","945","964","216","12268","1.57","1.57","-","-","-","-","0",
"J","J7","N/A","-","0.61","715","716","724","945","964","219","14623","1.87","1.87","-","-","-","-","0",
"J","J8","N/A","-","0.65","763","765","772","945","964","229","18993","2.43","2.43","-","-","-","-","0",
"J","J9","N/A","-","0.66","775","777","781","945","964","220","9809","1.26","1.26","-","-","-","-","0",
"J","J10","N/A","-","0.68","790","792","805","945","964","58","14415","1.85","1.85","-","-","-","-","0",



Concentration:

"Band","A","B","C","D","E","F","G","H","I","J",
"1","-","-","-","-","-","-","-","-","-","-",
"2","-","-","-","-","-","-","-","-","-","-",
"3","-","-","-","-","-","-","-","-","-","-",
"4","-","-","-","-","-","-","-","-","-","-",
"5","-","-","-","-","-","-","-","-","-","-",
"6","-","-","-","-","-","-","-","-","-","-",
"7","-","-","-","-","-","-","-","-","-","-",
"8","-","-","-","-","-","-","-","-","-","-",
"9","-","-","-","-","-","-","-","-","-","-",
"10","-","-","-","-","-","-","-","-","-","-",



Calibrated Concentration:

"Calibrated Concentration Intensities","Calibrated Concentration Ranges","Source",
"-","-","N/A",



MolecularWeight:

"Band","A","B","C","D","E","F","G","H","I","J",
"1","-","-","-","-","-","-","-","-","-","-",
"2","-","-","-","-","-","-","-","-","-","-",
"3","-","-","-","-","-","-","-","-","-","-",
"4","-","-","-","-","-","-","-","-","-","-",
"5","-","-","-","-","-","-","-","-","-","-",
"6","-","-","-","-","-","-","-","-","-","-",
"7","-","-","-","-","-","-","-","-","-","-",
"8","-","-","-","-","-","-","-","-","-","-",
"9","-","-","-","-","-","-","-","-","-","-",
"10","-","-","-","-","-","-","-","-","-","-",



